h,x
0.41313,0.755
0.41313,0.76
0.41314,0.765
0.41314,0.77
0.41315,0.775
0.41315,0.78
0.41315,0.785
0.41316,0.79
0.41317,0.795
0.41317,0.8
0.41318,0.805
0.41318,0.81
0.41318,0.8150000000000001
0.41319,0.8200000000000001
0.4132,0.8250000000000001
0.41321,0.8300000000000001
0.41321,0.835
0.41322,0.84
0.41322,0.845
0.41323,0.85
0.41324,0.855
0.41325,0.86
0.41326,0.865
0.41327,0.87
0.41328,0.875
0.41328,0.88
0.41329,0.885
0.4133,0.89
0.41331,0.895
0.41331,0.9
0.41332,0.905
0.41332,0.91
0.41333,0.915
0.41334,0.92
0.41334,0.925
0.41335,0.93
0.41335,0.935
0.41335,0.94
0.41335,0.945
0.41335,0.95
0.41336,0.955
0.41336,0.96
0.41336,0.965
0.41336,0.97
0.41336,0.975
0.41335,0.98
0.41335,0.985
0.41335,0.99
0.41335,0.995
0.41335,1.0
0.41335,1.005
0.41334,1.01
0.41334,1.015
0.41334,1.02
0.41333,1.025
0.41333,1.03
0.41333,1.035
0.41332,1.04
0.41332,1.045
0.41331,1.05
0.41331,1.055
0.4133,1.06
0.4133,1.065
0.41329,1.07
0.41328,1.075
0.41328,1.08
0.41327,1.085
0.41326,1.09
0.41325,1.095
0.41324,1.1
0.41323,1.105
0.41321,1.11
0.4132,1.115
0.41319,1.12
0.41318,1.125
0.41317,1.13
0.41315,1.135
0.41313,1.14
0.41312,1.145
0.4131,1.15
0.41308,1.155
0.41306,1.16
0.41304,1.165
0.41302,1.17
0.413,1.175
0.41297,1.18
0.41295,1.185
0.41292,1.19
0.41289,1.195
0.41286,1.2
0.41282,1.205
0.41279,1.21
0.41275,1.215
0.41271,1.22
0.41267,1.225
0.41263,1.23
0.41259,1.235
0.41254,1.24
0.41249,1.245
0.41244,1.25
0.41238,1.255
0.41232,1.26
0.41226,1.265
0.4122,1.27
0.41213,1.275
0.41206,1.28
0.41198,1.285
0.4119,1.29
0.41182,1.295
0.41173,1.3
0.41164,1.305
0.41154,1.31
0.41144,1.315
0.41133,1.32
0.41121,1.325
0.41109,1.33
0.41096,1.335
0.41083,1.34
0.41068,1.345
0.41053,1.35
0.41038,1.355
0.4102,1.36
0.41005,1.365
0.40987,1.37
0.40964,1.375
0.40941,1.38
0.40917,1.385
0.40891,1.39
0.40863,1.395
0.40834,1.4
0.40803,1.405
0.40771,1.41
0.40736,1.415
0.407,1.42
0.40661,1.425
0.4062,1.43
0.40577,1.435
0.40529,1.44
0.40479,1.445
0.40428,1.45
0.40372,1.455
0.40311,1.46
0.40246,1.465
0.40177,1.47
0.40099,1.475
0.4003,1.48
0.39947,1.485
0.39844,1.49
0.39747,1.495
0.39637,1.5
0.39541,1.505
0.39422,1.51
0.39278,1.515
0.39129,1.52
0.39021,1.525
0.38879,1.53
0.38641,1.535
0.38449,1.54
0.38268,1.545
0.38089,1.55
0.37869,1.555
0.37623,1.56
0.37367,1.565
0.37116,1.57
0.3682,1.575
0.36563,1.58
0.36275,1.585
0.35825,1.59
0.35556,1.595
0.35271,1.6
0.34793,1.605
0.34303,1.61
0.3381,1.615
0.33315,1.62
0.32815,1.625
0.32311,1.63
0.31804,1.635
0.31295,1.64
0.30786,1.645
0.30276,1.65
0.29767,1.655
0.2926,1.66
0.28512,1.665
0.27761,1.67
0.2701,1.675
0.26013,1.68
0.25259,1.685
0.24504,1.69
0.23505,1.695
0.22259,1.7
0.21012,1.705
0.20009,1.71
0.18761,1.715
0.17512,1.72
0.16507,1.725
0.15259,1.73
0.14449,1.735
0.12765,1.74
0.11521,1.745
0.10524,1.75
0.09533,1.755
0.08781,1.76
0.08271,1.765
0.07766,1.77
0.07267,1.775
0.06772,1.78
0.06288,1.785
0.05815,1.79
0.05546,1.795
0.05329,1.8
0.0509,1.805
0.0502,1.81
0.04869,1.815
0.04688,1.82
0.04603,1.825
0.04539,1.83
0.04509,1.835
0.04439,1.84
0.04357,1.845
0.04323,1.85
0.04295,1.855
0.04271,1.86
0.04252,1.865
0.04235,1.87
0.04221,1.875
0.0421,1.88
0.042,1.885
0.04192,1.89
0.04185,1.895
0.0418,1.9
0.04175,1.905
0.04171,1.91
0.04168,1.915
0.04165,1.92
0.04163,1.925
0.04161,1.93
0.04159,1.935
0.04158,1.94
0.04157,1.945
0.04156,1.95
0.04155,1.955
0.04154,1.96
0.04154,1.965
0.04153,1.97
0.04153,1.975
0.04152,1.98
0.04152,1.985
0.04152,1.99
0.04152,1.995
0.04152,2.0
0.04151,2.005
0.04151,2.01
0.04151,2.015
0.04151,2.02
0.04151,2.025
0.04151,2.03
0.04151,2.035
0.04151,2.04
0.04151,2.045
0.04151,2.05
0.04151,2.055
0.04151,2.06
0.04151,2.065
0.04151,2.07
0.04151,2.075
0.04151,2.08
0.04151,2.085
0.04151,2.09
0.04151,2.095
0.04151,2.1
0.04151,2.105
0.04151,2.11
0.04151,2.115
0.04151,2.12
0.04151,2.125
0.04151,2.13
0.04151,2.135
0.04151,2.14
0.04151,2.145
0.04151,2.15
0.04151,2.155
0.04151,2.16
0.04151,2.165
0.04151,2.17
0.0415,2.1750000000000003
0.0415,2.18
0.0415,2.185
0.0415,2.19
0.0415,2.195
0.0415,2.2
0.0415,2.205
0.0415,2.21
0.0415,2.215
0.0415,2.22
0.0415,2.225
0.0415,2.23
0.0415,2.235
0.0415,2.24
0.0415,2.245
0.0415,2.25
0.0415,2.255
0.0415,2.26
0.0415,2.265
0.0415,2.27
0.0415,2.275
0.0415,2.28
0.0415,2.285
0.0415,2.29
0.0415,2.295
0.0415,2.3000000000000003
0.0415,2.305
0.0415,2.31
0.0415,2.315
0.0415,2.32
0.0415,2.325
0.0415,2.33
0.0415,2.335
0.0415,2.34
0.0415,2.345
0.0415,2.35
0.0415,2.355
0.0415,2.36
0.0415,2.365
0.0415,2.37
0.0415,2.375
0.0415,2.38
0.0415,2.385
0.0415,2.39
0.0415,2.395
0.0415,2.4
0.0415,2.405
0.0415,2.41
0.0415,2.415
0.04149,2.42
0.04149,2.4250000000000003
0.04149,2.43
0.04149,2.435
0.04149,2.44
0.04149,2.445
0.04149,2.45
0.04149,2.455
0.04149,2.46
0.04149,2.465
0.04149,2.47
0.04149,2.475
0.04149,2.48
0.04149,2.485
0.04149,2.49
0.04149,2.495
0.04149,2.5
