v,h,H,hW,x
0.2408533333333333,0.41888,0.42184,0.0,0.49
0.240681,0.41888566666666666,0.42184,0.0,0.495
0.240514,0.41889,0.421836,0.0,0.5
0.240358,0.41889,0.42183,0.0,0.505
0.240208,0.41889,0.42183,0.0,0.51
0.240058,0.41889,0.42183,0.0,0.515
0.23991533333333334,0.41889733333333334,0.42183,0.0,0.52
0.23977366666666666,0.4189,0.42183,0.0,0.525
0.23964,0.418904,0.42183,0.0,0.53
0.239515,0.41891,0.42183,0.0,0.535
0.23939066666666667,0.41891,0.42183,0.0,0.54
0.239274,0.41891,0.42183,0.0,0.545
0.23916466666666666,0.41891733333333336,0.42183733333333334,0.0,0.55
0.23906766666666668,0.4189256666666667,0.42184,0.0,0.555
0.23897600000000002,0.41893,0.42184,0.0,0.56
0.23889101694915255,0.41893237288135593,0.42184237288135595,0.0,0.5650000000000001
0.23882499999999998,0.4189408333333333,0.42185,0.0,0.5700000000000001
0.23877500000000002,0.41894916666666665,0.42185,0.0,0.5750000000000001
0.2387475,0.41895,0.4218575,0.0,0.58
0.23873416666666666,0.4189558333333333,0.42186,0.0,0.585
0.23873,0.41896,0.4218641666666667,0.0,0.59
0.23873,0.4189625,0.42187,0.0,0.595
0.23873,0.41897,0.42187083333333336,0.0,0.6
0.23873,0.41897,0.42187916666666664,0.0,0.605
0.23873,0.4189775,0.42188749999999997,0.0,0.61
0.23873,0.41898583333333334,0.42189,0.0,0.615
0.23873,0.41899416666666667,0.4218941666666667,0.0,0.62
0.23873,0.419,0.4219,0.0,0.625
0.23872916666666666,0.4190008333333333,0.42190083333333334,0.0,0.63
0.23872083333333333,0.41900916666666665,0.42190916666666667,0.0,0.635
0.23872,0.4190175,0.4219175,0.0,0.64
0.23872,0.41902,0.42192583333333333,0.0,0.645
0.23872,0.4190241666666667,0.42193416666666667,0.0,0.65
0.2387175,0.41903250000000003,0.4219425,0.0,0.655
0.23871,0.41904083333333336,0.42195083333333333,0.0,0.66
0.23871,0.41904916666666664,0.42195916666666666,0.0,0.665
0.23870249999999998,0.41905749999999997,0.4219675,0.0,0.67
0.2387,0.4190658333333333,0.42197583333333333,0.0,0.675
0.23869583333333333,0.41907833333333333,0.42198416666666666,0.0,0.68
0.23869,0.41909250000000003,0.4219925,0.0,0.685
0.23868915254237288,0.4191008474576271,0.4220008474576271,0.0,0.6900000000000001
0.2386806779661017,0.4191093220338983,0.4220093220338983,0.0,0.6950000000000001
0.23867233333333332,0.41911766666666667,0.4220176666666667,0.0,0.7000000000000001
0.23867,0.419126,0.422032,0.0,0.705
0.23866566666666666,0.41913866666666666,0.42204433333333335,0.0,0.71
0.23865733333333333,0.4191526666666667,0.42205266666666663,0.0,0.715
0.238649,0.41916099999999995,0.422062,0.0,0.72
0.23864066666666667,0.41916933333333334,0.42207866666666666,0.0,0.725
0.23863233333333334,0.41918533333333335,0.4220876666666667,0.0,0.73
0.23863,0.419196,0.42209599999999997,0.0,0.735
0.23862566666666668,0.41920433333333335,0.4221043333333333,0.0,0.74
0.23861733333333332,0.41921533333333333,0.42211533333333334,0.0,0.745
0.238609,0.419231,0.42213100000000003,0.0,0.75
0.23860066666666668,0.41923933333333335,0.42213933333333337,0.0,0.755
0.2386,0.4192476666666667,0.4221476666666667,0.0,0.76
0.238594,0.419256,0.422156,0.0,0.765
0.23858566666666667,0.41926433333333335,0.4221643333333333,0.0,0.77
0.23858,0.4192726666666666,0.42217266666666664,0.0,0.775
0.23857899999999999,0.419281,0.422182,0.0,0.78
0.23857066666666668,0.41928933333333335,0.42219866666666667,0.0,0.785
0.23856233333333332,0.41930533333333336,0.42220766666666665,0.0,0.79
0.23856,0.419316,0.422216,0.0,0.795
0.23855566666666667,0.41932433333333335,0.4222243333333333,0.0,0.8
0.23855,0.41933,0.42223266666666665,0.0,0.805
0.23855,0.419331,0.42224,0.0,0.81
0.23855,0.41933933333333334,0.42224,0.0,0.8150000000000001
0.2385422033898305,0.41934779661016947,0.4222477966101695,0.0,0.8200000000000001
0.23854,0.4193561666666667,0.4222561666666667,0.0,0.8250000000000001
0.23854,0.41936450000000003,0.4222645,0.0,0.8300000000000001
0.23853716666666666,0.41937,0.42227,0.0,0.835
0.23853,0.4193711666666667,0.42227116666666664,0.0,0.84
0.23853,0.41937949999999996,0.4222795,0.0,0.845
0.23853,0.4193878333333333,0.4222878333333333,0.0,0.85
0.23853,0.41939,0.42229,0.0,0.855
0.23853,0.4193945,0.4222945,0.0,0.86
0.23853,0.41940283333333334,0.4223,0.0,0.865
0.23853,0.41941,0.42230116666666667,0.0,0.87
0.23853,0.41941,0.4223095,0.0,0.875
0.23853,0.4194178333333333,0.42231783333333334,0.0,0.88
0.23853,0.41942,0.42232,0.0,0.885
0.2385255,0.41942450000000003,0.4223245,0.0,0.89
0.23852,0.41943,0.42233,0.0,0.895
0.23852,0.4194311666666667,0.42233116666666665,0.0,0.9
0.23852,0.41943949999999997,0.4223395,0.0,0.905
0.23852,0.41944,0.42234,0.0,0.91
0.23852,0.4194461666666667,0.4223461666666667,0.0,0.915
0.23852,0.41945,0.42235,0.0,0.92
0.23852,0.41945283333333333,0.42235283333333334,0.0,0.925
0.23852,0.41946,0.42236,0.0,0.93
0.23852,0.41946,0.42236,0.0,0.935
0.23852,0.4194678333333333,0.42236783333333333,0.0,0.94
0.23851372881355934,0.41947,0.42237,0.0,0.945
